"","Date","Open","High","Low","Settle","Change","Wave","Volume","Prev. Day Open Interest","EFP Volume","EFS Volume","Block Volume"
"2",2020-04-30,103.75,104.1,102.65,104.65,1,103.7,14,507,NA,NA,NA
"3",2020-04-29,104.05,104.1,103.5,103.65,-2.05,103.94,16,657,NA,NA,NA
"4",2020-04-28,NA,NA,NA,105.7,1.1,NA,113,817,NA,NA,NA
"5",2020-04-27,107,107,104.3,104.6,-0.6,105.07,28,866,NA,4,NA
"6",2020-04-24,109.45,109.45,105,105.2,-5.85,106.11,35,874,NA,NA,NA
"7",2020-04-23,112,113.6,110.65,111.05,0.45,111.74,33,910,6,NA,NA
"8",2020-04-22,109.65,112.1,109.65,110.6,0.95,110.73,122,1088,2,NA,NA
"9",2020-04-21,113,113.55,109.35,109.65,-4,111.07,5461,5198,3000,25,308
"10",2020-04-20,116.3,116.75,113.05,113.65,-2.4,115.03,5318,8451,619,31,NA
"11",2020-04-17,118.3,119.6,115.7,116.05,-2.55,117.08,8979,14503,1704,8,NA
"12",2020-04-16,119.85,120.85,117.9,118.6,-1.6,119.23,6035,17314,954,52,NA
"13",2020-04-15,117,121.2,114.6,120.2,3,117.99,7865,20550,1043,155,NA
"14",2020-04-14,119.9,120.35,115.75,117.2,-2.55,117.82,11033,25938,432,3150,NA
"15",2020-04-13,118.95,120.6,116.6,119.75,NA,119.09,13485,31823,662,84,NA
"16",2020-04-09,120,122,116.9,118.6,-1.2,119.53,20277,42900,108,1585,NA
"17",2020-04-08,120,120.75,118.05,119.8,-0.1,119.55,19672,48930,396,500,NA
"18",2020-04-07,117.05,120.9,117,119.9,3.25,119.53,22325,55912,605,10,NA
"19",2020-04-06,114.85,117.8,112.4,116.65,1.75,115.12,18480,58252,309,NA,NA
"20",2020-04-03,118.55,119.2,114.3,114.9,-4.45,116.47,14636,60554,440,1,NA
"21",2020-04-02,116.85,120.1,116.6,119.35,3.35,118.53,16958,61500,258,NA,NA
"22",2020-04-01,117.75,119,114.1,116,-3.55,116.6,16664,62499,576,5,NA
"23",2020-03-31,118.65,120.4,116.4,119.55,0.25,118.58,13867,62837,306,12,NA
"24",2020-03-30,116.2,120.85,116.2,119.3,3.45,118.59,13791,62915,639,NA,NA
"25",2020-03-27,123.35,123.35,115.65,115.85,-8.8,118.95,19169,65433,249,98,NA
"26",2020-03-26,128.4,130.65,124.05,124.65,-5.3,127.93,17127,67819,761,90,NA
"27",2020-03-25,126.2,130.4,122.35,129.95,4.35,125.97,24480,70057,869,222,NA
"28",2020-03-24,121.45,126.05,120.8,125.6,4.35,123.9,20164,72221,910,78,NA
"29",2020-03-23,120.65,124.9,116.6,121.25,1.55,121.21,26234,73090,671,82,NA
"30",2020-03-20,114,120.05,114,119.7,7,117.43,23813,75696,814,203,NA
"31",2020-03-19,108.9,113.85,108.45,112.7,4.4,110.82,23063,79542,406,34,NA
"32",2020-03-18,108.2,108.2,108.2,108.05,5.15,108.2,18,168,NA,NA,NA
"33",2020-03-17,104.4,104.4,102.8,102.9,-1,103.7,13,169,NA,NA,NA
"34",2020-03-16,107.05,107.05,104.85,103.9,-3.15,105.95,4,168,NA,NA,NA
"35",2020-03-13,111.15,111.35,107.5,107.05,-2.1,111.11,62,157,NA,NA,NA
"36",2020-03-12,NA,NA,NA,109.15,-2.4,NA,99,95,1,NA,NA
"37",2020-03-11,NA,NA,NA,111.55,-2.7,NA,12,493,NA,NA,NA
"38",2020-03-10,111.3,114.45,111.3,114.25,5.3,112.35,81,444,11,NA,NA
"39",2020-03-09,103.7,109.65,103.7,108.95,3.35,106.6,36,704,NA,NA,NA
"40",2020-03-06,105.6,106.2,105.6,105.6,-4.25,106.08,42,711,NA,NA,NA
"41",2020-03-05,115,115.45,115,109.85,-7.3,115.09,82,926,NA,NA,NA
"42",2020-03-04,118.85,118.85,118.85,117.15,-3.9,118.85,62,996,NA,NA,NA
"43",2020-03-03,118.7,120.75,118.3,121.05,6.4,119.43,119,1034,NA,NA,NA
"44",2020-03-02,112.75,113.7,112.75,114.65,4.55,113.18,15,1045,2,NA,NA
"45",2020-02-28,107.75,109.95,107.75,110.1,1.9,108.06,110,1209,NA,NA,NA
