"","Date","Open","High","Low","Last","Change","Settle","Volume","Previous Day Open Interest"
"2",2020-04-30,305.25,313.25,303.25,313,7,311.5,10307,9805
"3",2020-04-29,302.75,308.75,300.25,305.25,1.75,304.5,118906,41026
"4",2020-04-28,305,308.5,301.25,302,2.75,302.75,126271,90488
"5",2020-04-27,315,315.75,304.25,304.25,10.25,305.5,88023,112871
"6",2020-04-24,319.25,320.75,312,316.25,3.5,315.75,95097,151589
"7",2020-04-23,317,323.5,315,319,1.75,319.25,120724,172075
"8",2020-04-22,310,320.25,308.25,317,8.25,317.5,118649,188795
"9",2020-04-21,314.25,316.25,301,309.25,5,309.25,162602,221804
"10",2020-04-20,322.5,323.25,313.5,314,8,314.25,130021,236285
"11",2020-04-17,319.75,325.5,319.5,322.5,2.5,322.25,85312,244235
"12",2020-04-16,318.75,323,317.75,319.25,0.5,319.75,118287,262717
"13",2020-04-15,326,326.75,317.5,319.25,6.75,319.25,140829,275538
"14",2020-04-14,331.25,332,325.75,326.25,5.5,326,170899,312523
"15",2020-04-13,332.25,334,326.5,331.5,0.25,331.5,113422,331556
"16",2020-04-09,330.75,333.5,328,332,1.75,331.75,149687,371812
"17",2020-04-08,332,334,328.25,331,1.5,330,131551,401740
"18",2020-04-07,328,335.5,328,331.5,3.75,331.5,135987,423498
"19",2020-04-06,329.75,331.75,325.5,328.75,3,327.75,95376,430332
"20",2020-04-03,334.5,338.5,328,331,2.75,330.75,147431,435662
"21",2020-04-02,335,343.25,333,333.75,1.25,333.5,135548,444324
"22",2020-04-01,341.25,342.75,333.5,335,6,334.75,139005,447139
"23",2020-03-31,341.75,344.75,333.5,341.5,0.5,340.75,192229,453633
"24",2020-03-30,343,346.75,340,341.25,4.75,341.25,92080,456635
"25",2020-03-27,348.5,350,342.5,345.25,2.75,346,102199,468297
"26",2020-03-26,348.25,349.25,343.75,348.75,0.25,348.75,103100,474162
"27",2020-03-25,347.5,352.75,345.75,349,1.25,348.5,107365,482009
"28",2020-03-24,343.5,350.5,338,347,3.75,347.25,117573,490678
"29",2020-03-23,340.25,345.5,338.25,343,0.25,343.5,104834,494423
"30",2020-03-20,346.5,356.75,342.25,342.75,1.75,343.75,175220,498392
"31",2020-03-19,336.5,354.75,336.5,345,10.25,345.5,210654,520668
"32",2020-03-18,344,345.25,332,335.25,8.75,335.25,229884,533638
"33",2020-03-17,355.25,356.75,342.75,344,10.75,344,204696,537944
"34",2020-03-16,362.5,367.75,354,355.75,11,354.75,170520,552326
"35",2020-03-13,370,375.5,370,372.75,1,370.75,118,252
"36",2020-03-12,377.5,377.5,367,370,9.5,369.75,342,414
"37",2020-03-11,380.25,380.25,377,378.5,0.75,379.25,722,929
"38",2020-03-10,379,381.5,377.5,380.5,5.75,380,495,1326
"39",2020-03-09,372,377.5,368.5,375.75,3,374.25,688,1904
"40",2020-03-06,383.75,385.5,377,378,7.25,377.25,1233,2797
"41",2020-03-05,387.5,387.5,382,384,2.5,384.5,1763,4175
"42",2020-03-04,382,388.5,380,387.25,5.25,387,3055,6554
"43",2020-03-03,375.75,383.75,375.75,381,7,381.75,3194,8517
"44",2020-03-02,366.5,375.75,366,375,8.25,374.75,5926,12047
"45",2020-02-28,364.5,367.25,362.75,373,2,366.5,17973,22658
"46",2020-02-27,369.75,370,361.75,364.5,6,364.5,151508,76591
"47",2020-02-26,372,374,368.25,370,2,370.5,250650,158747
"48",2020-02-25,373,374.75,371.25,372,0.25,372.5,97266,196403
"49",2020-02-24,376.25,376.25,370,372.25,4.75,372.25,139812,234632
"50",2020-02-21,378.25,380.5,376.25,376.5,1.5,377,145754,283461
"51",2020-02-20,380.75,381.25,378,378.25,2,378.5,153934,310310
"52",2020-02-19,382.25,382.75,378.5,380.25,2.5,380.5,133149,343238
"53",2020-02-18,378.5,383.25,378,382.75,5.25,383,194910,362747
"54",2020-02-14,379.5,381.5,376.25,377.75,1.75,377.75,203519,399288
"55",2020-02-13,382.25,382.75,379,379.5,3.5,379.5,185648,428574
"56",2020-02-12,379.75,383.75,378.25,382,3.25,383,222274,462058
"57",2020-02-11,381,382,378,380,2,379.75,181378,498332
"58",2020-02-10,383.25,383.5,379,381,1.75,381.75,199573,548847
"59",2020-02-07,380.25,385,380,383,4.25,383.5,235786,597277
"60",2020-02-06,380.25,381.75,376,379.75,1.5,379.25,173790,612882
"61",2020-02-05,381.5,383.25,379.5,380.5,1.5,380.75,108750,619660
"62",2020-02-04,378.25,383.5,378.25,382,3.5,382.25,160592,623809
"63",2020-02-03,380.5,382,376.5,378.25,2.5,378.75,189673,630791
"64",2020-01-31,381.5,382.75,378.75,381.25,1.75,381.25,136103,636920
"65",2020-01-30,384.5,384.75,378.5,379.75,4.75,379.5,144240,643254
"66",2020-01-29,385.5,388.25,382.75,384,2.25,384.25,121289,643474
"67",2020-01-28,382.5,387,378.5,385,6,386.5,224825,665231
"68",2020-01-27,384.25,384.75,377.25,381,6.75,380.5,242410,677285
"69",2020-01-24,393.25,393.25,386.5,386.5,6.5,387.25,184087,678615
"70",2020-01-23,388.5,394,387.5,393.5,5,393.75,244067,683470
"71",2020-01-22,387.5,391,386.75,388,1.25,388.75,142431,686635
"72",2020-01-21,389,389.25,384.25,387.5,1.75,387.5,168620,707498
"73",2020-01-17,377,389.5,376.75,389,13.75,389.25,275953,745179
"74",2020-01-16,387.25,387.75,375.25,376,12,375.5,213486,729081
"75",2020-01-15,388.75,390.25,386.5,387,1.5,387.5,129405,734647
"76",2020-01-14,389.25,390.5,388.25,389,0.5,389,101032,736225
"77",2020-01-13,386.5,389.5,385.5,389.25,3.75,389.5,123587,737141
"78",2020-01-10,383.25,386.75,376.5,385.75,2.5,385.75,206470,733377
"79",2020-01-09,383.75,387,382.25,383,1,383.25,114754,733669
"80",2020-01-08,384,385.5,382.25,384,0.25,384.25,117017,731545
"81",2020-01-07,385,385.75,383.5,384.5,0.25,384.5,81838,737047
"82",2020-01-06,386.25,387.75,382.75,385,1.75,384.75,97994,739243
"83",2020-01-03,391.5,392,385.5,386,5,386.5,112048,740797
"84",2020-01-02,387.75,392,387.25,391.25,3.75,391.5,92345,740345
"85",2019-12-31,388.25,389.75,386.25,387.5,0.5,387.75,72989,745443
"86",2019-12-30,389.25,392,386.75,388,1.75,388.25,107198,746556
"87",2019-12-27,388,391,388,390,1.5,390,73843,748797
"88",2019-12-26,388,389,386.5,388.5,1,388.5,42713,749455
"89",2019-12-24,388.5,389,387,388.25,1.25,387.5,44328,751311
"90",2019-12-23,388,390.25,387.25,388.75,1,388.75,71412,753738
"91",2019-12-20,386.5,389.5,386,387.75,1.25,387.75,68692,754264
"92",2019-12-19,387,389,385,386.25,0.5,386.5,84372,765428
"93",2019-12-18,389.25,390,385.75,386.75,3,387,114382,778095
"94",2019-12-17,387.5,390.5,386.25,389.25,2,390,105079,783847
"95",2019-12-16,383.5,389.5,383.25,387.25,7,388,164623,788955
"96",2019-12-13,373.75,374.5,366.25,366.25,0.75,366.25,88,165
"97",2019-12-12,358.25,368.75,358.25,368.5,9.25,367,664,807
"98",2019-12-11,363,363,357,357,5.5,357.75,259,998
"99",2019-12-10,365.75,367,362.5,363.75,2.5,363.25,888,1286
"100",2019-12-09,366.5,368,365,365,0.75,365.75,639,1558
"101",2019-12-06,364.75,368.75,364.75,366.5,1,366.5,960,2286
"102",2019-12-05,368.5,369.75,365,365,3.25,365.5,3029,3891
"103",2019-12-04,371.75,373.5,367.75,368.5,3.25,368.75,2978,5191
"104",2019-12-03,373.75,376.25,371.5,371.5,1.5,372,4939,7762
"105",2019-12-02,371.75,375.5,370,373.5,2.25,373.5,6189,11167
"106",2019-11-29,365.75,372.25,365,370.5,8.5,371.25,15409,18148
"107",2019-11-27,367.25,368.75,362.25,366,4.75,362.75,157745,110890
"108",2019-11-26,369.75,370.5,367,367.5,3,367.5,182344,186535
"109",2019-11-25,368.75,372.75,368.25,370,1.75,370.5,171835,263005
"110",2019-11-22,368,370.25,367.5,368,0.25,368.75,188613,370345
"111",2019-11-21,366.75,369.75,366.25,368,1.75,368.5,131462,401867
"112",2019-11-20,369.75,370.5,365.75,367,3.25,366.75,274150,429707
"113",2019-11-19,367.75,373,367.75,369.75,2.25,370,185640,446608
"114",2019-11-18,371,371.75,367.5,368,3.5,367.75,182872,481164
"115",2019-11-15,375.5,376.5,370.75,371,4.5,371.25,126643,493957
"116",2019-11-14,375.25,377.5,374.5,375.5,0.5,375.75,131876,513727
"117",2019-11-13,377,377.75,375,375,2.5,375.25,178444,532155
"118",2019-11-12,373.5,378,372.75,377.25,4.5,377.75,203568,570355
"119",2019-11-11,376,377,372.5,373.25,4,373.25,186700,602250
"120",2019-11-08,375.25,383.75,372.5,376.5,2,377.25,316923,621743
"121",2019-11-07,379.25,380,373.75,375,3.5,375.25,194440,655494
"122",2019-11-06,382.25,385,377.5,379.75,3,378.75,170438,663358
"123",2019-11-05,383.25,384.75,380.5,381.75,1.5,381.75,140692,672307
"124",2019-11-04,386.75,387.75,383,383.25,6,383.25,131680,678041
"125",2019-11-01,389.25,391.75,386.25,388.25,0.75,389.25,133939,674573
"126",2019-10-31,390.25,391,384.75,389.25,0.75,390,158617,687850
"127",2019-10-30,385.75,391.25,385.25,390.25,4.5,390.75,154228,701621
"128",2019-10-29,383.5,387.5,382,386,2.25,386.25,138455,713365
"129",2019-10-28,386,386.5,383.25,384,2.75,384,107548,718912
"130",2019-10-25,387,390,385.75,387,NA,386.75,116327,731514
"131",2019-10-24,388.5,390.75,385.25,387,1,386.75,116746,736537
"132",2019-10-23,387.75,389.5,384,388.25,0.25,387.75,107450,742277
"133",2019-10-22,387,392.5,385,388.25,0.75,388,123774,742492
"134",2019-10-21,390,393.75,386.5,387,3.75,387.25,134607,745877
"135",2019-10-18,394,395.75,389.75,390.25,3.75,391,110414,739371
"136",2019-10-17,391.75,397.25,391.5,394.75,3,394.75,131217,738846
"137",2019-10-16,392,392.75,387.5,391.75,1.5,391.75,129168,735788
"138",2019-10-15,397,398.5,392.5,393.25,4.5,393.25,129870,751871
"139",2019-10-14,401.25,402.5,393.25,397,NA,397.75,160479,769922
"140",2019-10-11,380.75,398.75,380.5,397.25,17.5,397.75,253205,783974
"141",2019-10-10,392.75,395,378.25,380.25,14,380.25,281182,801918
"142",2019-10-09,395.5,397.25,393,393.5,1.5,394.25,128661,821544
"143",2019-10-08,387.5,396.5,386,395.5,8.75,395.75,182677,813540
"144",2019-10-07,387.5,387.75,385,387,2.25,387,88611,817787
"145",2019-10-04,NA,389,383.75,384.75,4,384.75,103288,813673
"146",2019-10-03,387,390.75,385.5,388.5,1,388.75,114769,822892
"147",2019-10-02,390.5,391.75,385.5,387,4.75,387.75,142335,838955
"148",2019-10-01,386.75,392.75,385.25,391,4.5,392.5,208306,857355
"149",2019-09-30,372,388.25,371.5,387,16.5,388,315024,878698
"150",2019-09-27,371.25,373,369.75,371.5,1,371.5,81035,876952
"151",2019-09-26,373.5,375.75,368.25,372.25,1.75,372.5,159873,877249
"152",2019-09-25,375.25,377.5,372.25,374,0.5,374.25,108226,878373
"153",2019-09-24,372,376,370.25,375.5,1.5,374.75,133529,883571
"154",2019-09-23,371.25,374.5,371,373,2.5,373.25,86684,882598
"155",2019-09-20,372.75,374.5,369.5,370.5,2,370.75,117457,890569
"156",2019-09-19,371.5,373.75,369.5,373,1.5,372.75,108595,895777
"157",2019-09-18,367.75,372,365.75,371.75,3.25,371.25,118261,900346
"158",2019-09-17,374,374.25,366,368,6,368,141161,891179
"159",2019-09-16,372,374.75,367.5,374.25,5.25,374,121939,901537
"160",2019-09-13,358.5,358.5,358.5,358.5,1,355.5,122,124
"161",2019-09-12,349.75,353.75,349.5,353.75,6.25,354.5,152,151
"162",2019-09-11,349.75,349.75,344.75,349.25,0.25,348.25,328,329
"163",2019-09-10,344,349.5,344,349.5,7.75,348.5,314,1019
"164",2019-09-09,343.25,343.25,340,341,1.75,340.75,917,1157
"165",2019-09-06,347.5,348.25,341.5,342,4,342.5,1357,1387
"166",2019-09-05,346.5,349.75,346.5,346.75,0.5,346.5,1813,1842
"167",2019-09-04,350.5,351,344.5,345,3.75,346,3844,3388
"168",2019-09-03,358.75,359,349,349,8.25,349.75,5085,5432
"169",2019-08-30,359.75,364.5,356.75,357,1.75,358,10502,9695
"170",2019-08-29,363,369,357.5,358,3,359.75,118185,53311
"171",2019-08-28,357.25,365.5,355.25,362.75,5.75,362.75,159024,122068
"172",2019-08-27,359,360,356.75,357,1.5,357,105885,160663
"173",2019-08-26,358,362,357,359.5,1.25,358.5,94376,189795
"174",2019-08-23,362.75,363,357.5,359,3.5,359.75,152021,259507
"175",2019-08-22,363,366.5,359,362.5,0.75,363.25,87996,265746
"176",2019-08-21,360,364,357,362.5,3,362.5,111053,294583
"177",2019-08-20,366.5,370.25,359.25,360,5.5,359.5,73977,310364
"178",2019-08-19,367.25,368.25,363.25,365,6,365,62273,319404
"179",2019-08-16,361.5,371.25,361.25,369,10.25,371,89062,339615
"180",2019-08-15,360.25,363.75,358.25,360.25,1.75,360.75,83442,355898
"181",2019-08-14,366.25,370.5,358.5,359,7,359,167197,376419
"182",2019-08-13,379,379,365.5,366.25,19.25,366,280890,402997
"183",2019-08-12,409.75,410,385.25,385.25,25,385.25,217576,420469
"184",2019-08-09,410.75,417,407.25,410,0.75,410.25,167674,450514
"185",2019-08-08,407.25,412,405.5,410.5,4.5,411,158905,474036
"186",2019-08-07,404.75,407.5,400.5,406.5,2.5,406.5,137557,500251
"187",2019-08-06,405.75,408,400.75,404,1.25,404,98646,508390
"188",2019-08-05,400,406.75,391,406,5.75,405.25,91539,512892
"189",2019-08-02,394.75,400,393.5,400,6.75,399.5,74140,513125
"190",2019-08-01,401.75,403,387.25,392.75,7.5,392.75,129681,508281
"191",2019-07-31,410.75,413.75,400,401,11,400.25,135075,494867
"192",2019-07-30,417,417,410.25,410.5,5.75,411.25,67958,494041
"193",2019-07-29,413.25,419.5,412,417,2.5,417,78366,507399
"194",2019-07-26,418.25,419.5,413,414.75,4,414.5,101738,527645
"195",2019-07-25,424,425.75,418,418.5,5.5,418.5,160329,528266
"196",2019-07-24,425,430.5,421.5,424.25,1.5,424,81612,527298
"197",2019-07-23,423.75,426.5,418.25,425,3.25,425.5,118411,528772
"198",2019-07-22,430.75,432.25,421,423,8.5,422.25,98856,536151
"199",2019-07-19,425.5,434,423.75,430.5,6.25,430.75,103643,541302
"200",2019-07-18,435,436,423.25,425,11.5,424.5,138181,544089
"201",2019-07-17,435.25,441.5,431.5,434.75,0.75,436,115173,551406
"202",2019-07-16,437.75,440.75,429,435.25,5.75,435.25,132119,554636
"203",2019-07-15,459.25,460,439.75,441,13.25,441,150371,550518
"204",2019-07-12,447.75,457,447.75,449.75,1.75,449.5,268,433
"205",2019-07-11,433.25,448,433.25,448,13.5,447.75,597,490
"206",2019-07-10,430,434.75,428,432.5,2.5,434.25,494,739
"207",2019-07-09,437.25,437.75,429.25,432.25,6.75,431.75,438,1204
"208",2019-07-08,440.75,442.75,432,438.75,4.5,438.5,2083,1919
"209",2019-07-05,433,435.5,427,435.5,1,434,2123,2416
"210",2019-07-03,417,433.75,417,432.75,19.5,433,3471,4366
"211",2019-07-02,412.5,415.5,408.25,414,1.5,413.5,6426,6995
"212",2019-07-01,424.25,424.75,410.25,411.25,8.25,412,13147,14303
"213",2019-06-28,439,455,411,422.75,19.75,420.25,33438,28962
"214",2019-06-27,443,445.5,438.5,440,3.25,440,133703,88360
"215",2019-06-26,447,447.25,440.75,441.75,4.25,443.25,132380,142958
"216",2019-06-25,451,453,446.5,447,0.75,447.5,134070,180459
"217",2019-06-24,442.25,447.75,440.25,447,4.5,446.75,146335,214769
"218",2019-06-21,452,454,441.75,442.5,7.75,442.25,220486,320450
"219",2019-06-20,441.5,450.75,436.5,450,9,450,176575,339676
"220",2019-06-19,449.75,451.75,438.25,441,8.75,441,171292,354606
"221",2019-06-18,455.5,458,442.75,449.75,5,449.75,199862,389521
"222",2019-06-17,458.25,464.25,450.5,454.5,1.75,454.75,261820,402072
"223",2019-06-14,442,457.25,441.75,453,11,453,290750,435110
"224",2019-06-13,429.75,442.75,429.5,441,12,442,375288,468716
"225",2019-06-12,427.75,434.5,424,429,2.25,430,312104,488988
"226",2019-06-11,415,430.25,408.25,427,12,427.75,332271,538434
"227",2019-06-10,413,416.5,409,415,NA,415.75,254185,561014
"228",2019-06-07,421,423.5,415,417.5,4.75,415.75,200060,595517
"229",2019-06-06,414.5,421.5,407,419,5.75,420.5,258656,615104
"230",2019-06-05,424.25,424.75,412.25,413.5,10.5,414.75,213827,624143
"231",2019-06-04,435,436,421.25,424.5,1,425.25,289299,641186
"232",2019-06-03,426.25,430.75,418.25,428,2.75,424.25,272387,663795
"233",2019-05-31,435,437.5,423.25,427,9.25,427,281470,683479
"234",2019-05-30,NA,436.75,413.25,436,17.5,436.25,304285,701138
"235",2019-05-29,429.25,438,412.25,416.5,1.5,418.75,461440,742655
"236",2019-05-28,408,421,407.5,425,16,420.25,392579,753140
"237",2019-05-24,390.5,404.75,389.75,403.5,14.5,404.25,285729,750847
"238",2019-05-23,394,399,387,390,4.75,389.75,328675,771531
"239",2019-05-22,393.25,396.5,386.25,394,0.25,394.5,277047,797345
"240",2019-05-21,393.25,399,391.25,394,5.25,394.25,431782,809278
"241",2019-05-20,386,391.5,385.75,390.5,5.75,389,344092,812024
"242",2019-05-17,380,384.75,380,382.5,4.25,383.25,301062,807524
"243",2019-05-16,368.75,380.75,368.75,380,9.5,379,235748,810753
"244",2019-05-15,369,380,368,368.75,0.75,369.5,320023,820547
"245",2019-05-14,354.25,360.75,353.5,359.5,13,360.5,199,108
"246",2019-05-13,335.5,348.25,335.5,348,5,347.5,266,263
"247",2019-05-10,346.5,346.5,338.25,342.75,2,342.5,308,375
"248",2019-05-09,350,350,344,344,10.75,344.5,657,853
"249",2019-05-08,356.5,356.5,353.25,355.5,2.75,355.25,860,1131
"250",2019-05-07,357,359.25,355,358.75,2.25,358,1156,1396
"251",2019-05-06,352.5,356,349,356,7.25,355.75,1710,2060
"252",2019-05-03,362.25,363.25,359.5,358,1,363,1645,2313
"253",2019-05-02,361,362.5,358.5,362,2,362,3576,2954
"254",2019-05-01,353.5,360.5,353.5,359.75,6.75,360,8030,5721
"255",2019-04-30,352.25,354,349.25,353.75,1.25,353.25,13784,11085
"256",2019-04-29,353.25,356,351.25,353,0.75,352,243299,109540
"257",2019-04-26,347.25,353.5,347,351,3.75,351.25,150231,238363
"258",2019-04-25,346,351,342.25,347,0.75,347.5,202983,311614
"259",2019-04-24,351,352.5,345.5,346.25,4.5,346.75,204672,339293
"260",2019-04-23,354.75,355,350.25,351,3.5,351.25,162035,364592
"261",2019-04-22,359,359,354.25,354.75,3.75,354.75,124723,381149
"262",2019-04-18,358,359.25,357,358,0.25,358.5,90353,396091
"263",2019-04-17,358.25,360,356.75,358.5,0.75,358.25,131584,422428
"264",2019-04-16,362.5,362.5,357.25,359,3.75,359,167255,434031
"265",2019-04-15,361.25,364.25,361,362.75,1.75,362.75,185325,473670
"266",2019-04-12,360.25,361.5,358.5,360.5,1,361,81349,484092
"267",2019-04-11,361.25,363,358.5,360.25,1.75,360,238045,523089
"268",2019-04-10,360.25,362.75,360,361.25,1.75,361.75,225075,553142
"269",2019-04-09,359.75,362.25,355.25,360.25,NA,360,244708,594279
"270",2019-04-08,362.25,363.5,359.5,360,2.5,360,241396,634582
"271",2019-04-05,364.5,364.75,360.5,362.5,2.75,362.5,247029,688126
"272",2019-04-04,362.75,366.25,362.75,365,2.5,365.25,150793,706011
"273",2019-04-03,361.25,364.75,360.5,363,1.25,362.75,125262,712575
"274",2019-04-02,362.25,363.5,359.25,361.75,0.25,361.5,106003,713019
"275",2019-04-01,356.5,363,356.5,361.75,5.25,361.75,212852,746172
"276",2019-03-29,373.75,375,356,357,17.5,356.5,408672,736500
"277",2019-03-28,373.75,374.75,372,373.75,0.25,374,86130,742040
"278",2019-03-27,376.75,377,372,373.5,3.5,373.75,111351,743553
"279",2019-03-26,379.25,380.5,375.5,376.5,2.5,377.25,150035,758162
"280",2019-03-25,378.75,380.75,376.75,379,1.5,379.75,137630,767635
"281",2019-03-22,375.75,380.75,375.5,378,2,378.25,209014,777649
"282",2019-03-21,371,377.5,370.5,375.75,4.75,376.25,205943,783752
"283",2019-03-20,371.5,372.5,368.75,371,0.25,371.5,92601,788001
"284",2019-03-19,372,373.75,367.75,371,0.25,371.25,143065,786945
"285",2019-03-18,374,375.5,370.25,371.75,1.75,371.5,159829,780609
"286",2019-03-15,369.25,373.75,369,373,3,373.25,173593,784390
"287",2019-03-14,360.25,363.25,360,362.75,4.25,361.5,390,233
"288",2019-03-13,357.25,359.5,355,356.5,0.75,357.25,317,594
"289",2019-03-12,353.25,357.75,352.75,356.75,4,356.5,798,1022
"290",2019-03-11,357.5,357.5,352.25,352.25,2.25,352.5,1747,1402
"291",2019-03-08,357.75,358.25,354,354.75,1.25,354.75,2265,1676
"292",2019-03-07,362.25,362.25,355.75,355.75,6.5,356,2482,2485
"293",2019-03-06,366,366,361,362,3.5,362.5,2916,3008
"294",2019-03-05,366,367.25,364.5,366,1,366,4570,3246
"295",2019-03-04,365.25,368,364.5,365,1,365,5270,5512
"296",2019-03-01,361.75,364,357.5,363.5,2,364,12340,10004
"297",2019-02-28,363.75,364.75,361.25,361.5,1.75,362,23044,20493
"298",2019-02-27,366,368.25,362.5,364,2.5,363.75,183007,95028
"299",2019-02-26,370.75,371.25,365.5,365.5,4.25,366.25,221891,151470
"300",2019-02-25,377.75,378.5,370,371,4.75,370.5,310455,253778
"301",2019-02-22,374.75,377.75,374.5,375,0.25,375.25,276531,338500
"302",2019-02-21,371,378.5,370.5,375,4.75,375.5,222210,394771
"303",2019-02-20,371.5,373.5,368.5,371,1,370.75,260899,435848
"304",2019-02-19,374.25,376.25,369,370.25,5,369.75,205198,447032
"305",2019-02-15,374.75,376.5,373,374.75,NA,374.75,193053,463969
"306",2019-02-14,378.75,379,374,374.5,4,374.75,195327,488675
"307",2019-02-13,377.5,379,376.25,378.75,0.5,378.75,216594,515876
"308",2019-02-12,373.5,378.75,373,378,5.5,378.25,266784,558891
"309",2019-02-11,374.5,375,371.75,373,1.5,372.75,283250,590217
"310",2019-02-08,376.5,381.75,374,374.25,2.25,374.25,318169,611373
"311",2019-02-07,379.75,380.25,376.25,376.5,3.5,376.5,235524,648871
"312",2019-02-06,380.5,380.75,379,380,0.75,380,134193,656151
"313",2019-02-05,379.5,381.25,377,380,1.5,380.75,157922,664494
"314",2019-02-04,377.75,379.75,376.5,379.25,1,379.25,126118,676972
"315",2019-02-01,376.5,380.75,376.5,378,1.75,378.25,138188,684989
"316",2019-01-31,381,381.5,375.75,376,4.75,376.5,186663,688515
"317",2019-01-30,377.75,381.5,377.5,380.75,4,381.25,180041,695076
"318",2019-01-29,379.75,380.75,376,377.5,2.5,377.25,171353,692756
"319",2019-01-28,379.5,381,378,379.75,0.5,379.75,89926,697549
"320",2019-01-25,377,380.5,376,380,3.25,380.25,118004,704466
"321",2019-01-24,378.75,379.75,375.75,377,1.75,377,113133,697942
"322",2019-01-23,379.5,381.75,378,379,0.25,378.75,112205,702726
"323",2019-01-22,380.75,382.25,376.75,379,2.75,379,191961,704220
"324",2019-01-18,379.75,383,377.75,380.5,1.75,381.75,177446,707861
