"","Date","Value"
"1",2019-09-30,104745
"2",2019-09-27,105077
"3",2019-09-26,105319
"4",2019-09-25,104480
"5",2019-09-24,103875
"6",2019-09-23,104637
"7",2019-09-20,104817
"8",2019-09-19,104339
"9",2019-09-18,104531
"10",2019-09-17,104616
"11",2019-09-16,103680
"12",2019-09-13,103501
"13",2019-09-12,104370
"14",2019-09-11,103445
"15",2019-09-10,103031
"16",2019-09-09,103180
"17",2019-09-06,102935
"18",2019-09-05,102243
"19",2019-09-04,101200
"20",2019-09-03,99680
"21",2019-09-02,100625
"22",2019-08-30,101134
"23",2019-08-29,100524
"24",2019-08-28,98193
"25",2019-08-27,97276
"26",2019-08-26,96429
"27",2019-08-23,97667
"28",2019-08-22,100011
"29",2019-08-21,101201
"30",2019-08-20,99222
"31",2019-08-19,99468
"32",2019-08-16,99805
"33",2019-08-15,99056
"34",2019-08-14,100258
"35",2019-08-13,103299
"36",2019-08-12,101915
"37",2019-08-09,103996
"38",2019-08-08,104115
"39",2019-08-07,102782
"40",2019-08-06,102163
"41",2019-08-05,100097
"42",2019-08-02,102673
"43",2019-08-01,102125
"44",2019-07-31,101812
"45",2019-07-30,102932
"46",2019-07-29,103482
"47",2019-07-26,102818
"48",2019-07-25,102654
"49",2019-07-24,104119
"50",2019-07-23,103704
"51",2019-07-22,103949
"52",2019-07-19,103451
"53",2019-07-18,104716
"54",2019-07-17,103855
"55",2019-07-16,103775
"56",2019-07-15,103802
"57",2019-07-12,103905
"58",2019-07-11,105146
"59",2019-07-10,105817
"60",2019-07-08,104530
"61",2019-07-05,104089
"62",2019-07-04,103636
"63",2019-07-03,102043
"64",2019-07-02,100605
"65",2019-07-01,101339
"66",2019-06-28,100967
"67",2019-06-27,100723
"68",2019-06-26,100688
"69",2019-06-25,100092
"70",2019-06-24,102062
"71",2019-06-21,102012
"72",2019-06-19,100303
"73",2019-06-18,99404
"74",2019-06-17,97623
"75",2019-06-14,98040
"76",2019-06-13,98773
"77",2019-06-12,98320
"78",2019-06-11,98960
"79",2019-06-10,97466
