"","Date","Value"
"1",2020-04-30,5.427
"2",2020-04-29,5.4291
"3",2020-04-28,5.5683
"4",2020-04-27,5.6358
"5",2020-04-24,5.651
"6",2020-04-23,5.4467
"7",2020-04-22,5.3847
"8",2020-04-20,5.2837
"9",2020-04-17,5.2573
"10",2020-04-16,5.2377
"11",2020-04-15,5.2579
"12",2020-04-14,5.1858
"13",2020-04-13,5.1824
"14",2020-04-09,5.0779
"15",2020-04-08,5.2123
"16",2020-04-07,5.2217
"17",2020-04-06,5.2471
"18",2020-04-03,5.2997
"19",2020-04-02,5.2651
"20",2020-04-01,5.2404
"21",2020-03-31,5.1987
"22",2020-03-30,5.1594
"23",2020-03-27,5.1109
"24",2020-03-26,5.001
"25",2020-03-25,5.0706
"26",2020-03-24,5.0713
"27",2020-03-23,5.0805
"28",2020-03-20,5.0248
"29",2020-03-19,5.1444
"30",2020-03-18,5.1107
"31",2020-03-17,5.0496
"32",2020-03-16,4.9471
"33",2020-03-13,4.7362
"34",2020-03-12,4.8833
"35",2020-03-11,4.6738
"36",2020-03-10,4.6693
"37",2020-03-09,4.7379
"38",2020-03-06,4.6459
"39",2020-03-05,4.6207
"40",2020-03-04,4.5258
"41",2020-03-03,4.4883
"42",2020-03-02,4.4946
"43",2020-02-28,4.4987
"44",2020-02-27,4.4764
"45",2020-02-26,4.4359
"46",2020-02-21,4.3924
"47",2020-02-20,4.3873
"48",2020-02-19,4.3728
"49",2020-02-18,4.3471
"50",2020-02-17,4.3157
"51",2020-02-14,4.3163
"52",2020-02-13,4.3389
"53",2020-02-12,4.3366
"54",2020-02-11,4.3148
"55",2020-02-10,4.3195
"56",2020-02-07,4.3076
"57",2020-02-06,4.2477
"58",2020-02-05,4.2449
"59",2020-02-04,4.2381
"60",2020-02-03,4.2475
"61",2020-01-31,4.2695
"62",2020-01-30,4.2523
"63",2020-01-29,4.2013
"64",2020-01-28,4.2064
"65",2020-01-27,4.2196
"66",2020-01-24,4.1769
"67",2020-01-23,4.1662
"68",2020-01-22,4.1889
"69",2020-01-21,4.2014
"70",2020-01-20,4.1829
"71",2020-01-17,4.1837
"72",2020-01-16,4.1726
"73",2020-01-15,4.1622
"74",2020-01-14,4.1443
"75",2020-01-13,4.1309
"76",2020-01-10,4.0745
"77",2020-01-09,4.0744
"78",2020-01-08,4.0672
"79",2020-01-07,4.0841
"80",2020-01-06,4.0554
"81",2020-01-03,4.0522
"82",2020-01-02,4.0213
"83",2019-12-31,4.0307
"84",2019-12-30,4.0307
"85",2019-12-27,4.0545
"86",2019-12-26,4.0601
"87",2019-12-24,4.0813
"88",2019-12-23,4.0757
"89",2019-12-20,4.0777
"90",2019-12-19,4.0633
"91",2019-12-18,4.0548
"92",2019-12-17,4.0687
"93",2019-12-16,4.0801
"94",2019-12-13,4.0949
"95",2019-12-12,4.1092
"96",2019-12-11,4.1153
"97",2019-12-10,4.1427
"98",2019-12-09,4.1503
"99",2019-12-06,4.1783
"100",2019-12-05,4.2136
"101",2019-12-04,4.1926
"102",2019-12-03,4.2008
"103",2019-12-02,4.2261
"104",2019-11-29,4.224
"105",2019-11-28,4.248
"106",2019-11-27,4.2602
"107",2019-11-26,4.2559
"108",2019-11-25,4.2089
"109",2019-11-22,4.1832
"110",2019-11-21,4.2012
"111",2019-11-20,4.2037
"112",2019-11-19,4.2084
"113",2019-11-18,4.1827
"114",2019-11-14,4.1831
"115",2019-11-13,4.1767
"116",2019-11-12,4.1756
"117",2019-11-11,4.1559
"118",2019-11-08,4.1365
"119",2019-11-07,4.0927
"120",2019-11-06,4.0351
"121",2019-11-05,4.0043
"122",2019-11-04,3.9922
"123",2019-11-01,3.9786
"124",2019-10-31,4.0041
"125",2019-10-30,4.0186
"126",2019-10-29,3.9946
"127",2019-10-28,3.9793
"128",2019-10-25,4.0133
"129",2019-10-24,4.0089
"130",2019-10-23,4.0721
"131",2019-10-22,4.0858
"132",2019-10-21,4.1319
"133",2019-10-18,4.1376
"134",2019-10-17,4.1457
"135",2019-10-16,4.1714
"136",2019-10-15,4.1488
"137",2019-10-14,4.1263
"138",2019-10-11,4.106
"139",2019-10-10,4.1145
"140",2019-10-09,4.0954
"141",2019-10-08,4.0868
"142",2019-10-07,4.0688
"143",2019-10-04,4.061
"144",2019-10-03,4.1012
"145",2019-10-02,4.1546
"146",2019-10-01,4.174
"147",2019-09-30,4.1644
"148",2019-09-27,4.1587
"149",2019-09-26,4.1469
"150",2019-09-25,4.1827
"151",2019-09-24,4.1721
"152",2019-09-23,4.1734
"153",2019-09-20,4.1687
"154",2019-09-19,4.1393
"155",2019-09-18,4.0972
"156",2019-09-17,4.0998
"157",2019-09-16,4.0872
"158",2019-09-13,4.0616
"159",2019-09-12,4.0494
"160",2019-09-11,4.0631
"161",2019-09-10,4.1108
"162",2019-09-09,4.0766
"163",2019-09-06,4.065
"164",2019-09-05,4.0859
"165",2019-09-04,4.1249
"166",2019-09-03,4.1657
"167",2019-09-02,4.1581
"168",2019-08-30,4.1385
"169",2019-08-29,4.168
"170",2019-08-28,4.1559
"171",2019-08-27,4.1557
"172",2019-08-26,4.1367
"173",2019-08-23,4.0851
"174",2019-08-22,4.0444
"175",2019-08-21,4.0254
"176",2019-08-20,4.0425
"177",2019-08-19,4.0274
"178",2019-08-16,3.9933
"179",2019-08-15,4.0188
"180",2019-08-14,4.0074
"181",2019-08-13,3.9736
"182",2019-08-12,3.9966
"183",2019-08-09,3.9362
"184",2019-08-08,3.9409
"185",2019-08-07,3.985
"186",2019-08-06,3.9643
"187",2019-08-05,3.9404
"188",2019-08-02,3.8739
"189",2019-08-01,3.8296
"190",2019-07-31,3.7649
"191",2019-07-30,3.79
"192",2019-07-29,3.7909
"193",2019-07-26,3.7741
"194",2019-07-25,3.7849
"195",2019-07-24,3.7596
"196",2019-07-23,3.7621
"197",2019-07-22,3.74
"198",2019-07-19,3.7408
"199",2019-07-18,3.7489
"200",2019-07-17,3.7618
"201",2019-07-16,3.7624
"202",2019-07-15,3.7463
"203",2019-07-12,3.7452
"204",2019-07-11,3.7533
"205",2019-07-10,3.7697
"206",2019-07-09,3.7858
"207",2019-07-08,3.8065
"208",2019-07-05,3.8204
"209",2019-07-04,3.794
"210",2019-07-03,3.8475
"211",2019-07-02,3.8564
"212",2019-07-01,3.8193
"213",2019-06-28,3.8322
"214",2019-06-27,3.8642
"215",2019-06-26,3.8441
"216",2019-06-25,3.8303
"217",2019-06-24,3.8234
"218",2019-06-21,3.8255
"219",2019-06-19,3.8723
"220",2019-06-18,3.8608
"221",2019-06-17,3.8895
"222",2019-06-14,3.8813
"223",2019-06-13,3.8429
"224",2019-06-12,3.8437
"225",2019-06-11,3.8664
"226",2019-06-10,3.879
"227",2019-06-07,3.8571
"228",2019-06-06,3.8726
"229",2019-06-05,3.8611
"230",2019-06-04,3.871
"231",2019-06-03,3.9003
"232",2019-05-31,3.9407
"233",2019-05-30,3.972
"234",2019-05-29,3.9965
"235",2019-05-28,4.0275
