"","Date","Open","High","Low","Last","Change","Settle","Volume","Previous Day Open Interest"
"2",2020-04-30,833.75,851,833.75,850.5,18.5,850.25,5067,4410
"3",2020-04-29,825.5,835,824.75,831.25,5.75,831.75,30150,12911
"4",2020-04-28,829.5,835.5,822.5,825,3,826,55565,33808
"5",2020-04-27,831.25,838.75,827.25,827,3.25,829,49246,55445
"6",2020-04-24,840,843.75,827.5,827,7,832.25,41949,102910
"7",2020-04-23,834.75,848.75,833.75,837.5,4.5,839.25,54350,116146
"8",2020-04-22,831.25,839,827,834,4,834.75,61914,125404
"9",2020-04-21,826,833.5,808.25,831.75,4.25,830.75,71708,135896
"10",2020-04-20,833.5,835.75,824.5,826.5,6,826.5,42270,140606
"11",2020-04-17,839.25,842.75,831.75,831.5,4.25,832.5,47582,149469
"12",2020-04-16,840.75,846.75,835.25,836,5.25,836.75,52162,161549
"13",2020-04-15,847.5,852.5,838.75,840.75,5,842,99809,174064
"14",2020-04-14,854.75,856.5,845.75,847,7.25,847,88800,184587
"15",2020-04-13,864,870,850.5,853,9.25,854.25,72509,204230
"16",2020-04-09,855.5,867,853.75,862.75,9,863.5,95113,217658
"17",2020-04-08,855.75,860.5,851.75,853.25,0.25,854.5,66939,230180
"18",2020-04-07,856,862.25,854.25,855,0.75,854.75,72962,242880
"19",2020-04-06,853.5,859,848.5,852.25,1.25,855.5,59364,245883
"20",2020-04-03,859.75,864.5,850.5,852.75,4.5,854.25,62075,247927
"21",2020-04-02,864.75,870,857,858,4,858.75,77109,251277
"22",2020-04-01,885.75,887.25,860.75,864.75,23.25,862.75,84310,253342
"23",2020-03-31,882.5,887.5,875.75,885.5,3.75,886,89669,252952
"24",2020-03-30,880,892.5,876.75,881.25,0.75,882.25,66762,253229
"25",2020-03-27,879,888.75,875.25,880.75,1.25,881.5,74273,258770
"26",2020-03-26,882.5,884.5,871.25,877,1.25,880.25,77125,262249
"27",2020-03-25,885,897,880.5,881.5,5.25,881.5,84016,269604
"28",2020-03-24,884,887.75,872.5,884.25,2.75,886.75,86393,275847
"29",2020-03-23,860,885.25,858.25,880.75,21.5,884,120602,284433
"30",2020-03-20,845.75,864.75,845.5,863,19.25,862.5,112815,286518
"31",2020-03-19,829.25,855.75,825,844,17.75,843.25,131747,290322
"32",2020-03-18,824.5,838.5,822.25,825,1.25,825.5,115856,298616
"33",2020-03-17,824.75,832.5,822,823,2.5,824.25,111828,305818
"34",2020-03-16,842,854.75,821,822.5,27,821.75,140996,312623
"35",2020-03-13,NA,NA,NA,NA,8.25,846.75,7,8
"36",2020-03-12,871.25,871.25,853.75,853.75,12.75,855,8,228
"37",2020-03-11,876.25,878.5,868.5,869.25,5.25,867.75,227,142
"38",2020-03-10,874.25,879.5,871.5,872.25,9.5,873,380,289
"39",2020-03-09,865,871.75,861.75,868.5,19.75,863.5,223,376
"40",2020-03-06,890.75,892,880.5,882.5,5.75,883.25,148,556
"41",2020-03-05,896.5,896.5,890,891.5,9.75,889,269,736
"42",2020-03-04,898.5,900.75,897.25,898.25,5.75,898.75,619,919
"43",2020-03-03,891.25,895.5,889.25,893.25,2.5,893,2989,2695
"44",2020-03-02,883.75,895,883.75,891,7,890.5,4084,2978
"45",2020-02-28,886.25,887.25,874.5,884.5,2.75,883.5,6340,4599
"46",2020-02-27,880.5,887.75,866.75,887,5.25,886.25,65217,25381
"47",2020-02-26,879.5,888.25,875.5,880.5,2,881,78110,53038
"48",2020-02-25,875.5,880.75,873.25,879,4.75,879,45832,72491
"49",2020-02-24,888,888.5,870.75,874.25,16.25,874.25,78543,90227
"50",2020-02-21,892,902,887.5,887.75,2.25,890.5,107976,143747
"51",2020-02-20,896.5,898,891.25,892,4.5,892.75,81670,170963
"52",2020-02-19,892.25,898.25,885,896.75,5,897.25,131149,188052
"53",2020-02-18,894.75,898.5,889.25,891.5,1.5,892.25,113757,210942
"54",2020-02-14,896.25,899.25,890,892.75,2.5,893.75,118906,232144
"55",2020-02-13,891,899.75,888.5,896.25,3.75,896.25,177526,250088
"56",2020-02-12,885.5,893,881.5,890.5,7.75,892.5,153438,277418
"57",2020-02-11,885.75,889,878,885.25,0.5,884.75,119854,298204
"58",2020-02-10,883,889.75,879.5,884.75,2.25,884.25,131838,321410
"59",2020-02-07,883.25,884.75,876.25,882,1,882,113780,339529
"60",2020-02-06,880,886.25,876.75,884.25,1,881,99943,341984
"61",2020-02-05,880,888,878,880,0.5,880,69342,342728
"62",2020-02-04,876.25,887,873.75,879.25,2.5,879.5,94611,344752
"63",2020-02-03,870.75,878.75,868.75,875.25,4.5,877,125048,340996
